line_id,EMIR band,freq,Calibration error (%),"Noise RMS (K) [1 min, IPWV=0mm]","Noise RMS (K) [1 min, IPWV=1mm]","Noise RMS (K) [1 min, IPWV=2mm]"
c2h_n2d0_j1d5_f1d0__n1d0_j1d5_f1d0,E150,174.85089152015246,7.5,0.09666131105991202,0.13509915998907815,0.23134464558385578
so_n7_j6__n6_j6,E150,174.9288700668272,7.5,0.09723671910342539,0.13632813547081407,0.2345148303952295
so_n13_j13__n13_j14,E150,175.05680836680776,7.5,0.09837379440312703,0.13861041349529146,0.24020870182921975
so_n12_j12__n12_j13,E150,175.91573714723913,7.5,0.10483429877451932,0.1541605787221479,0.2840987986020903
so_n11_j11__n11_j12,E150,176.934439872911,7.5,0.11559773065546802,0.1817462189797129,0.36902241543148323
hcn_j2_f2__j1_f2,E150,177.25947342010863,7.5,0.12068232898035823,0.1945906433484457,0.4102635951265382
hcn_j2_f1__j1_f0,E150,177.2597234595381,7.5,0.12068660086380391,0.19460148051010312,0.4102989690457544
hcn_j2_f2__j1_f1,E150,177.26091114682814,7.5,0.12070696293465917,0.19465313700962514,0.4104675998895614
hcn_j2_f3__j1_f2,E150,177.26101532992374,7.5,0.1207087509611419,0.19465767319883695,0.41048240939491976
hcn_j2_f1__j1_f2,E150,177.26180712145043,7.5,0.12072234033921933,0.1946921501893958,0.41059497450512866
hcn_j2_f1__j1_f1,E150,177.26324484816996,7.5,0.12074701749151791,0.1947547619691096,0.41079942720781504
c_c3h2_j5_ka3_kc3__j4_ka4_kc0,E150,177.39524691397813,7.5,0.1230893377028879,0.20072315206710248,0.4304598054599948
c_c3h2_j6_ka6_kc0__j6_ka3_kc3,E150,177.75428686541602,7.5,0.13034163329829268,0.2195305532806421,0.4946495947876129
so_n10_j10__n10_j11,E150,178.1518656024858,7.5,0.1401770159497457,0.24591123016497687,0.5905638717197689
hcop_j2__j1,E150,178.38229631480738,7.5,0.14705069572854204,0.26484754724950016,0.6634543074843129
so_n4_j5__n3_j4,E150,178.6054131654504,7.5,0.15475673416414737,0.28653839523166497,0.7510318000459688
so_n9_j9__n9_j10,E150,179.62050823888728,7.5,0.20862760601976868,0.4552784033626203,1.5902736211592075
hnc_j2__j1,E150,181.32476844720867,7.5,0.5356855802543439,2.083922718245516,23.88297506089358
so_n8_j8__n8_j9,E150,181.4126816855152,7.5,0.5757884739798325,2.3549537172784105,30.088729602827073
h2o_j3_ka1_kc3__j2_ka2_kc0,E150,183.2997384279127,7.5,3.2673574786730724,56.110655639740465,15322.107678205348
c_c3h2_j4_ka1_kc3__j3_ka2_kc2,E150,183.62339363275527,7.5,2.930614392549534,45.48456752645154,10067.572587341934
so_n7_j7__n7_j8,E150,183.6304966278483,7.5,2.9167105495054666,45.070502695752026,9885.258631575962
h2_18o_j3_ka1_kc3__j2_ka2_kc0,E230,203.40915954383613,10.0,0.09336967198240392,0.11525017454132959,0.16553601523784553
c_c3h2_j4_ka2_kc2__j3_ka3_kc1,E230,204.78867083317704,10.0,0.09157775322986784,0.1118618766595974,0.158082300368198
c_c3h2_j8_ka4_kc5__j7_ka5_kc2,E230,205.7945565376938,10.0,0.09089932607824684,0.11035315587230494,0.15447748722583485
so_n5_j4__n4_j3,E230,206.1760168996745,10.0,0.09185675685527207,0.11118599326799107,0.1549739615499496
13c_18o_j2__j1,E230,209.42885880856548,10.0,0.08952692001161063,0.10770798487362551,0.14867152348270388
so_n2_j2__n2_j3,E230,210.20256915064147,10.0,0.08924017140413859,0.10727357383001522,0.14787750326189575
so_n8_j7__n7_j7,E230,214.35705136694128,10.0,0.08832949677813687,0.10595986874878736,0.14559923496524807
so_n5_j5__n4_j4,E230,215.2206652611825,10.0,0.08916345206178593,0.10683983860607725,0.14658262060038477
c_c3h2_j3_ka3_kc0__j2_ka2_kc1,E230,216.27848686396268,10.0,0.087577568795378,0.10511609991443113,0.1445529417658431
c_c3h2_j8_ka8_kc0__j8_ka5_kc3,E230,217.115275069646,10.0,0.08740637345684427,0.10493426418862963,0.14435314647513137
c_c3h2_j6_ka0_kc6__j5_ka1_kc5,E230,217.8218760790467,10.0,0.08731130025574853,0.10484105901114368,0.14427093684820697
c_c3h2_j6_ka1_kc6__j5_ka0_kc5,E230,217.8218760790467,10.0,0.08731130025574853,0.10484105901114368,0.14427093684820697
c_c3h2_j5_ka1_kc4__j4_ka2_kc3,E230,217.9397738373703,10.0,0.08730686874813534,0.10483843821315876,0.14427367170284972
c_c3h2_j9_ka3_kc6__j9_ka2_kc7,E230,218.0545106805729,10.0,0.08731304252828091,0.10484737835983082,0.14429010707292986
c_c3h2_j9_ka4_kc6__j9_ka3_kc7,E230,218.05727361626865,10.0,0.08731569877586595,0.10485030564654689,0.14429367535311685
c_c3h2_j5_ka2_kc4__j4_ka1_kc3,E230,218.16018359445684,10.0,0.0873358131683301,0.10487420758750172,0.1443272885284579
c_c3h2_j8_ka2_kc6__j8_ka1_kc7,E230,218.448556152138,10.0,0.08719245067928262,0.10472590536363584,0.14417135400404088
c_c3h2_j8_ka3_kc6__j8_ka2_kc7,E230,218.44916666507828,10.0,0.08719233925345683,0.10472579975423274,0.144171269420823
c_c3h2_j7_ka1_kc6__j7_ka0_kc7,E230,218.73245925501715,10.0,0.08715068151427757,0.10468819459432288,0.1441464322503939
c_c3h2_j7_ka2_kc6__j7_ka1_kc7,E230,218.73245925501715,10.0,0.08715068151427757,0.10468819459432288,0.1441464322503939
c_18o_j2__j1,E230,219.55545570250263,10.0,0.08705897587460522,0.10461531087174024,0.14412769462362127
so_n5_j6__n4_j5,E230,219.9494547084072,10.0,0.08700990182301327,0.10457715963631695,0.14412038465531346
13c_o_j2__j1,E230,220.38892046743572,10.0,0.0869658313884236,0.10454782715847033,0.14413165283972118
cn_n2_j1d5__n1_j1d5,E230,226.33274422545847,10.0,0.08807908745535803,0.1061376326067571,0.14693381816381645
cn_n2_j1d5__n1_j0d5,E230,226.65899254755104,10.0,0.08743527999638039,0.10546814381979339,0.14621593221806542
cn_n2_j2d5__n1_j1d5,E230,226.87649122057988,10.0,0.08722302608669662,0.10525724957310649,0.14601461847588315
c_c3h2_j4_ka3_kc2__j3_ka2_kc1,E230,227.16885419918924,10.0,0.08701807558299647,0.10506123156954703,0.1458476439555541
co_v1_j2__v1_j1,E230,228.4318554490402,10.0,0.08672393590450628,0.10486029127926984,0.14589722401037727
co_v0_j2__v0_j1,E230,230.5363539804964,10.0,0.08768288064304129,0.10611652770062877,0.14789869709091424
c_c3h2_j7_ka6_kc1__j7_ka3_kc4,E230,230.68574420496287,10.0,0.08798915953900453,0.10646551997736124,0.14834992463727906
c_c3h2_j8_ka7_kc1__j8_ka4_kc4,E230,232.19459047286423,10.0,0.08774295276930076,0.10637238058855535,0.14866200006683794
so_n2_j1__n1_j2,E230,236.45230688514584,10.0,0.08883247580541827,0.10806444214952649,0.15189585701973923
c_c3h2_j7_ka4_kc4__j6_ka5_kc1,E230,237.0020673285462,10.0,0.09620605128240209,0.11617763562889846,0.16171971834014895
c_c3h2_j6_ka4_kc3__j5_ka5_kc0,E230,237.3682896625959,10.0,0.09276561021755475,0.1124739318778415,0.1574323268267746
c_c3h2_j3_ka2_kc1__j2_ka1_kc2,E230,244.22184542069783,10.0,0.08973663693825369,0.11014417466535956,0.15704578086342852
cs_j5__j4,E230,245.39286341542885,10.0,0.08661317220573732,0.10689664680923056,0.15357679723407805
so_n3_j2__n2_j3,E230,246.4046021262573,10.0,0.08668319483607191,0.10712920520610048,0.15423990845375776
c_c3h2_j5_ka2_kc3__j4_ka3_kc2,E230,249.0540574269411,10.0,0.08912221819326566,0.11023373024973317,0.15903527935933562
c_c3h2_j7_ka0_kc7__j6_ka1_kc6,E230,251.31405339592888,10.0,0.08827436403025007,0.10967674981148325,0.15929223034567555
c_c3h2_j7_ka1_kc7__j6_ka0_kc6,E230,251.31405339592888,10.0,0.08827436403025007,0.10967674981148325,0.15929223034567555
c_c3h2_j6_ka1_kc5__j5_ka2_kc4,E230,251.50839445883025,10.0,0.08792085482116758,0.10931986612292148,0.15893994258474495
c_c3h2_j6_ka2_kc5__j5_ka1_kc4,E230,251.5269973923835,10.0,0.08789133404679537,0.10929046652994576,0.15891201087547627
so_n6_j5__n5_j4,E230,251.82578450903483,10.0,0.0874920124337024,0.10890075835195025,0.15856374936881887
c_c3h2_j9_ka2_kc7__j9_ka1_kc8,E230,252.13561836768065,10.0,0.08674516673954,0.10812950191793938,0.1577557959200813
c_c3h2_j9_ka3_kc7__j9_ka2_kc8,E230,252.13565795725697,10.0,0.08674515855160134,0.10812949963494593,0.15775580987523946
c_c3h2_j8_ka1_kc7__j8_ka0_kc8,E230,252.4095219770425,10.0,0.08669938900789388,0.10812563871034578,0.15786693627521717
c_c3h2_j8_ka2_kc7__j8_ka1_kc8,E230,252.40952822802825,10.0,0.08669938801966443,0.10812563868664014,0.15786693889230907
h2_18o_j10_ka2_kc9__j9_ka3_kc6,E230,253.89628767965883,10.0,0.08655178766767341,0.10821908167121959,0.15861862797028076
so_n9_j8__n8_j8,E230,254.57364303555664,10.0,0.08653887233565333,0.10832346302006611,0.15904179620673106
c_c3h2_j5_ka3_kc3__j4_ka2_kc2,E230,254.98733473019453,10.0,0.08654954122694727,0.10840831640344163,0.15932773496749786
so_n6_j6__n5_j5,E230,258.2558407758776,10.0,0.09072205690836783,0.11363000246008036,0.1672350201571993
c_c3h2_j5_ka3_kc2__j4_ka4_kc1,E230,260.4794216274544,10.0,0.08702995406938963,0.10995490444797539,0.16377105060239028
n_el2do_j3_2__el2do_j5_2,E230,261.2912038065278,10.0,0.08708153916376767,0.11016929861476052,0.16443206652276762
c_c3h2_j3_ka3_kc1__j2_ka0_kc2,E230,261.8314848384242,10.0,0.08722797239185572,0.11043784397147025,0.16503115459892675
c2h_n3d0_j3d5_f3d0__n2d0_j1d5_f2d0,E230,261.8341435910243,10.0,0.08722864192867007,0.11043911004267662,0.1650340420949925
so_n6_j7__n5_j6,E230,261.843735937004,10.0,0.08723086649475287,0.1104434681890223,0.16504420011352597
c2h_n3d0_j3d5_f3d0__n2d0_j2d5_f3d0,E230,261.9777933269225,10.0,0.08728674524030888,0.11053202345085691,0.16522048816270538
c2h_n3d0_j3d5_f4d0__n2d0_j2d5_f3d0,E230,262.00393286561274,10.0,0.08736414698671635,0.11062330982134004,0.16534655324071665
c2h_n3d0_j3d5_f3d0__n2d0_j2d5_f2d0,E230,262.0061561328732,10.0,0.08736569574813823,0.11062547160783844,0.16535033802031535
c2h_n3d0_j2d5_f3d0__n2d0_j1d5_f2d0,E230,262.06465910838574,10.0,0.08740896391983208,0.1106851691305716,0.16545346232250308
c2h_n3d0_j2d5_f2d0__n2d0_j1d5_f1d0,E230,262.0671428333852,10.0,0.08741091162673202,0.11068782786987161,0.16545799498212332
c2h_n3d0_j2d5_f2d0__n2d0_j1d5_f2d0,E230,262.0786071412269,10.0,0.08742003974227416,0.11070025272766605,0.16547910965636067
c2h_n3d0_j2d5_f3d0__n2d0_j2d5_f3d0,E230,262.20828592400284,10.0,0.08754111889667447,0.11086067521250362,0.1657426919315745
c2h_n3d0_j2d5_f2d0__n2d0_j2d5_f3d0,E230,262.2222589607869,10.0,0.08755652222152996,0.11088059044212104,0.16577436964927023
c2h_n3d0_j2d5_f3d0__n2d0_j2d5_f2d0,E230,262.2366299769963,10.0,0.08757294899675186,0.11090172379355838,0.16580775718329568
c2h_n3d0_j2d5_f2d0__n2d0_j2d5_f2d0,E230,262.2506009301185,10.0,0.08758948644192581,0.11092290329661735,0.16584100184770867
c_c3h2_j4_ka4_kc1__j3_ka3_kc0,E230,265.7591500372571,10.0,0.08771395130968676,0.11177527545399742,0.1687112244732615
hcn_j3_f3__j2_f3,E230,265.88567832322155,10.0,0.08772259793110433,0.11181134549570926,0.16882348514396686
so_n4_j3__n3_j4,E230,267.19776085451605,10.0,0.09835927123698668,0.12399227981934641,0.18478536637277337
hcop_j3__j2,E230,267.5630261626494,10.0,0.09009463509579727,0.11482191243875987,0.1735011994741164
hnc_j3__j2,E230,271.98115766294194,10.0,0.08837228349347398,0.11387739033976364,0.17484753877725337
c_c3h2_j4_ka4_kc0__j3_ka3_kc1,E330,282.3807503147458,10.0,0.10507556760021111,0.13554367089988703,0.20980820315857027
c_c3h2_j8_ka0_kc8__j7_ka1_kc7,E330,284.80487008158224,10.0,0.10576844231609214,0.13709830636246362,0.21385463093025753
c_c3h2_j8_ka1_kc8__j7_ka0_kc7,E330,284.80487008158224,10.0,0.10576844231609214,0.13709830636246362,0.21385463093025753
c_c3h2_j6_ka2_kc4__j5_ka3_kc3,E330,284.9126683306168,10.0,0.10587272338712356,0.13725258966318976,0.2141493811167509
c_c3h2_j7_ka1_kc6__j6_ka2_kc5,E330,284.9976546490351,10.0,0.10596648635615044,0.13738752486342745,0.21439941623116282
c_c3h2_j7_ka2_kc6__j6_ka1_kc5,E330,284.9990173639258,10.0,0.1059681556604082,0.13738987898956653,0.21440367608617955
c_c3h2_j6_ka3_kc4__j5_ka2_kc3,E330,285.7953096003429,10.0,0.10912954486326351,0.14127163022519196,0.22018879513201056
c_c3h2_j9_ka2_kc8__j9_ka1_kc9,E330,286.08106507866205,10.0,0.14830902931611478,0.18623873174411648,0.2794251757531538
c_c3h2_j9_ka1_kc8__j9_ka0_kc9,E330,286.08106507866205,10.0,0.14830902931611478,0.18623873174411648,0.2794251757531538
so_n1_j1__n0_j1,E330,286.34016843746065,10.0,0.1225455605478162,0.15682777113987045,0.24110183938269183
c_c3h2_j7_ka5_kc3__j6_ka6_kc0,E330,294.03522981181544,10.0,0.10759978314766623,0.1426568061650435,0.2305129942111231
cs_j6__j5,E330,294.46310145086534,10.0,0.1075231738965667,0.14275783878243523,0.23116773688771025
so_n5_j4__n4_j5,E330,294.7684108460346,10.0,0.10755923020385179,0.14293715516349234,0.23178538864180165
