line_id,molecule,transition,E(K),Aij(s-1),freq
h2_v1_j21__v0_j21,h2,v1_j21__v0_j21,4362.34345371,2.2e-07,90896.48903009665
h2_v1_j21__v0_j19,h2,v1_j21__v0_j19,8588.86526088,4.398e-07,178962.91414253612
h2_v1_j21__v1_j19,h2,v1_j21__v1_j19,3974.73602626,3.2e-06,82820.06069494817
h2_v1_j22__v0_j22,h2,v1_j22__v0_j22,4231.1389026,2.231e-07,88162.62977137041
h2_v1_j22__v0_j20,h2,v1_j22__v0_j20,8486.34119741,5.962e-07,176826.65928103586
h2_v1_j22__v1_j20,h2,v1_j22__v1_j20,3996.33024427,3.43e-06,83270.01119088866
h2_v1_j23__v0_j23,h2,v1_j23__v0_j23,4096.33713162,2.27e-07,85353.81661231013
h2_v1_j23__v0_j21,h2,v1_j23__v0_j21,8367.3378886,7.689e-07,174347.0326609461
h2_v1_j23__v1_j21,h2,v1_j23__v1_j21,4004.99443489,3.614e-06,83450.54363084947
h2_v1_j24__v0_j24,h2,v1_j24__v0_j24,3957.79353361,2.312e-07,82467.03642860033
h2_v1_j24__v0_j22,h2,v1_j24__v0_j22,8232.39129753,9.533e-07,171535.20194082914
h2_v1_j24__v1_j22,h2,v1_j24__v1_j22,4001.25239636,3.745e-06,83372.57219925507
h2_v1_j24__v2_j22,h2,v1_j24__v2_j22,99.64383071,8.121e-15,2076.2405484936016
h2_v1_j25__v0_j25,h2,v1_j25__v0_j25,3815.26248347,2.358e-07,79497.17122358526
h2_v1_j25__v0_j23,h2,v1_j25__v0_j23,8081.86916262,1.144e-06,168398.82954607933
h2_v1_j25__v1_j23,h2,v1_j25__v1_j23,3985.532031,3.816e-06,83045.01293376919
h2_v1_j25__v2_j23,h2,v1_j25__v2_j23,222.45017644,4.75e-13,4635.109600397298
h2_v1_j26__v0_j26,h2,v1_j26__v0_j26,3668.37385296,2.404e-07,76436.50877610121
h2_v1_j26__v0_j24,h2,v1_j26__v0_j24,7915.93482823,1.337e-06,164941.31902091202
h2_v1_j26__v1_j24,h2,v1_j26__v1_j24,3958.14129462,3.825e-06,82474.28259231166
h2_v1_j26__v2_j24,h2,v1_j26__v2_j24,338.57302086,4.082e-12,7054.717081094262
h2_v1_j27__v0_j27,h2,v1_j27__v0_j27,3516.59864843,2.445e-07,73274.02664694446
h2_v1_j27__v0_j25,h2,v1_j27__v0_j25,7734.49889019,1.525e-06,161160.80748468885
h2_v1_j27__v1_j25,h2,v1_j27__v1_j25,3919.23640672,3.768e-06,81663.63626110362
h2_v1_j27__v2_j25,h2,v1_j27__v2_j25,448.70698529,1.752e-11,9349.536550464278
h2_v1_j28__v0_j28,h2,v1_j28__v0_j28,3359.19694577,2.479e-07,69994.30731925477
h2_v1_j28__v0_j26,h2,v1_j28__v0_j26,7537.1499547,1.703e-06,157048.7228814896
h2_v1_j28__v1_j26,h2,v1_j28__v1_j26,3868.77610174,3.643e-06,80612.2141053884
h2_v1_j28__v2_j26,h2,v1_j28__v2_j26,553.57647665,5.249e-11,11534.662199589691
h2_v2_j0__v0_j2,h2,v2_j0__v0_j2,11125.52870531,3.466e-07,231818.40417819223
h2_v2_j0__v1_j2,h2,v2_j0__v1_j2,5164.00651232,1.284e-06,107600.43684759505
h2_v2_j1__v0_j3,h2,v2_j1__v0_j3,10773.95776551,1.605e-07,224492.85441074934
h2_v2_j1__v0_j1,h2,v2_j1__v0_j1,11618.56588095,1.939e-07,242091.63202064412
h2_v2_j1__v1_j3,h2,v2_j1__v1_j3,4837.74752091,6.389e-07,100802.30250802389
h2_v2_j1__v1_j1,h2,v2_j1__v1_j1,5640.08270702,6.378e-07,117520.2551902421
h2_v2_j2__v0_j4,h2,v2_j2__v0_j4,10413.23909672,1.032e-07,216976.69689849834
h2_v2_j2__v0_j2,h2,v2_j2__v0_j2,11585.01396674,1.383e-07,241392.52356339176
h2_v2_j2__v0_j0,h2,v2_j2__v0_j0,12094.87783938,1.275e-07,252016.36288233622
h2_v2_j2__v1_j4,h2,v2_j2__v1_j4,4510.53883605,4.398e-07,93984.37976775115
h2_v2_j2__v1_j2,h2,v2_j2__v1_j2,5623.49177374,4.532e-07,117174.5562325862
h2_v2_j2__v1_j0,h2,v2_j2__v1_j0,6107.88809716,3.681e-07,127267.73792842895
h2_v2_j2__v2_j0,h2,v2_j2__v2_j0,459.48526142,2.563e-11,9574.119384991141
h2_v2_j3__v0_j5,h2,v2_j3__v0_j5,10046.27767288,6.962e-08,209330.46147699025
h2_v2_j3__v0_j3,h2,v2_j3__v0_j3,11534.93795043,1.287e-07,240349.1086843267
h2_v2_j3__v0_j1,h2,v2_j3__v0_j1,12379.54606587,1.899e-07,257947.88629422148
h2_v2_j3__v1_j5,h2,v2_j3__v1_j5,4185.08582587,3.168e-07,87203.03935209003
h2_v2_j3__v1_j3,h2,v2_j3__v1_j3,5598.72770583,4.197e-07,116658.5567816013
h2_v2_j3__v1_j1,h2,v2_j3__v1_j1,6401.06289194,4.975e-07,133376.5094638195
h2_v2_j3__v2_j1,h2,v2_j3__v2_j1,760.98018492,4.126e-10,15856.25427357743
h2_v2_j4__v0_j6,h2,v2_j4__v0_j6,9675.77554864,4.704e-08,201610.4498298176
h2_v2_j4__v0_j4,h2,v2_j4__v0_j4,11468.63478983,1.249e-07,238967.5749802317
h2_v2_j4__v0_j2,h2,v2_j4__v0_j2,12640.40966129,2.379e-07,263383.40167512983
h2_v2_j4__v1_j6,h2,v2_j4__v1_j6,3863.84817296,2.279e-07,80509.53273033265
h2_v2_j4__v1_j4,h2,v2_j4__v1_j4,5565.93452917,4.047e-07,115975.25784969289
h2_v2_j4__v1_j2,h2,v2_j4__v1_j2,6678.88746686,5.595e-07,139165.43431452796
h2_v2_j4__v2_j2,h2,v2_j4__v2_j2,1055.39569312,2.37e-09,21990.878081941755
h2_v2_j5__v0_j7,h2,v2_j5__v0_j7,9304.17702894,3.133e-08,193867.59300803635
h2_v2_j5__v0_j5,h2,v2_j5__v0_j5,11386.49140801,1.228e-07,237255.98461974633
h2_v2_j5__v0_j3,h2,v2_j5__v0_j3,12875.15168556,2.768e-07,268274.6318270828
h2_v2_j5__v1_j7,h2,v2_j5__v1_j7,3548.99005816,1.612e-07,73948.9541143561
h2_v2_j5__v1_j5,h2,v2_j5__v1_j5,5525.29956099,3.948e-07,115128.56249463768
h2_v2_j5__v1_j3,h2,v2_j5__v1_j3,6938.94143952,5.768e-07,144584.07989435262
h2_v2_j5__v2_j3,h2,v2_j5__v2_j3,1340.21373368,8.38e-09,27925.523112542938
h2_v2_j6__v0_j8,h2,v2_j6__v0_j8,8933.63263776,2.04e-08,186146.7006607334
h2_v2_j6__v0_j6,h2,v2_j6__v0_j6,11288.97660738,1.211e-07,235224.1058601318
h2_v2_j6__v0_j4,h2,v2_j6__v0_j4,13081.83584857,3.07e-07,272581.2310105459
h2_v2_j6__v1_j8,h2,v2_j6__v1_j8,3242.35018941,1.114e-07,67559.61596118519
h2_v2_j6__v1_j6,h2,v2_j6__v1_j6,5477.04923169,3.866e-07,114123.18876043848
h2_v2_j6__v1_j4,h2,v2_j6__v1_j4,7179.1355879,5.571e-07,149588.9138797987
h2_v2_j6__v2_j4,h2,v2_j6__v2_j4,1613.20105873,2.226e-08,33613.65603010581
h2_v2_j7__v0_j9,h2,v2_j7__v0_j9,8565.98109021,1.294e-08,178486.08539433207
h2_v2_j7__v0_j7,h2,v2_j7__v0_j7,11176.63080837,1.196e-07,232883.1992360545
h2_v2_j7__v0_j5,h2,v2_j7__v0_j5,13258.94518599,3.278e-07,276271.5908175513
h2_v2_j7__v1_j9,h2,v2_j7__v1_j9,2945.43070155,7.478e-08,61372.817682352885
h2_v2_j7__v1_j7,h2,v2_j7__v1_j7,5421.44383758,3.792e-07,112964.56034216586
h2_v2_j7__v1_j5,h2,v2_j7__v1_j5,7397.75334041,5.062e-07,154144.16872244747
h2_v2_j7__v2_j5,h2,v2_j7__v2_j5,1872.45377942,4.883e-08,39015.60622780977
h2_v2_j8__v0_j10,h2,v2_j8__v0_j10,8202.74695456,7.951e-09,170917.51405720192
